quantile,threshold,expert_point_exceedance_rate,episodes,observed,observed_rate,supported_observed,supported_observed_rate,supported_episodes,supported_detection_rate,mean_alarm_step,median_alarm_step,p25_alarm_step,p75_alarm_step,pre_grasp,post_grasp,identifiable_events,event_covered,late_alarms,late_rate_among_identifiable,median_lead_step
0.8,5.276160843617674,0.19999999999999996,50,50,1.0,50,1.0,50,1.0,9.6,10.0,5.0,15.0,50,0,24,24,0,0.0,66.0
0.85,5.524425250174028,0.15000000000000002,50,50,1.0,50,1.0,50,1.0,10.7,10.0,5.0,15.0,50,0,24,24,0,0.0,66.0
0.9,6.09107401919689,0.09999999999999998,50,50,1.0,50,1.0,50,1.0,12.1,10.0,5.0,20.0,50,0,24,24,0,0.0,61.0
0.925,6.223848703567474,0.07499999999999996,50,50,1.0,50,1.0,50,1.0,12.7,10.0,10.0,20.0,50,0,24,24,0,0.0,61.0
0.95,6.412018495789037,0.050000000000000044,50,50,1.0,50,1.0,50,1.0,14.1,15.0,10.0,20.0,50,0,24,24,0,0.0,61.0
0.975,7.1269319622291185,0.025000000000000022,50,50,1.0,50,1.0,50,1.0,16.0,20.0,10.0,20.0,50,0,24,24,0,0.0,56.0
0.99,7.49883131004297,0.010000000000000009,50,50,1.0,50,1.0,50,1.0,18.0,20.0,15.0,20.0,50,0,24,24,0,0.0,56.0
